title,price_gbp,rating,in_stock,competitor,source_url,scraped_at
Scott Pilgrim's Precious,£17.36,3.7,True,CompetitorA,https://books.toscrape.com/catalogue/scott-pilgrim's-precious_1/index.html,2026-08-24T14:20:00.267008+00:00
Atomic Habits,£43.68,2.1,True,CompetitorA,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24T14:58:36.267008+00:00
Tipping the Velvet,£10.74,1.8,True,CompetitorB,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24T15:18:33.267008+00:00
Tipping the Velvet,,1.8,True,CompetitorC,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24T15:22:38.267008+00:00
Good to Great,£40.63,5.0,True,CompetitorB,https://books.toscrape.com/catalogue/good-to-great_1/index.html,2026-08-24T14:38:15.267008+00:00
Zero to One,£38.82,1.9,True,CompetitorA,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T16:09:33.267008+00:00
It's Only the Himalayas,£9.65,2.1,True,CompetitorC,https://books.toscrape.com/catalogue/it's-only-the-himalayas_1/index.html,2026-08-24T14:29:43.267008+00:00
Worlds Elsewhere,£52.15,2.1,True,CompetitorB,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24T15:53:08.267008+00:00
The Requiem Red,£45.78,3.4,True,CompetitorB,https://books.toscrape.com/catalogue/the-requiem-red_1/index.html,2026-08-24T14:51:57.267008+00:00
Birdsong,£24.25,2.6,True,CompetitorC,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24T15:14:15.267008+00:00
Black Dust,£57.28,3.6,True,CompetitorC,https://books.toscrape.com/catalogue/black-dust_1/index.html,2026-08-24T15:27:03.267008+00:00
Birdsong,£26.63,2.6,True,CompetitorA,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24T15:22:09.267008+00:00
Deep Work,£31.45,3.3,True,CompetitorA,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24T14:58:53.267008+00:00
Worlds Elsewhere,£48.89,2.1,True,CompetitorC,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24T15:19:52.267008+00:00
Stillness is the Key,£16.29,5.0,False,CompetitorA,https://books.toscrape.com/catalogue/stillness-is-the-key_1/index.html,2026-08-24T16:02:13.267008+00:00
The Lean Startup,£26.78,2.6,True,CompetitorC,https://books.toscrape.com/catalogue/the-lean-startup_1/index.html,2026-08-24T15:29:26.267008+00:00
Deep Work,£30.54,3.3,False,CompetitorC,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24T16:03:56.267008+00:00
The Boys in the Boat,£25.24,1.7,False,CompetitorA,https://books.toscrape.com/catalogue/the-boys-in-the-boat_1/index.html,2026-08-24T15:20:36.267008+00:00
Atomic Habits,£41.65,2.1,True,CompetitorB,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24T15:13:04.267008+00:00
Shoe Dog,£37.62,1.2,True,CompetitorC,https://books.toscrape.com/catalogue/shoe-dog_1/index.html,2026-08-24T15:42:23.267008+00:00
Our Band Could Be Your Life,£37.04,4.1,True,CompetitorC,https://books.toscrape.com/catalogue/our-band-could-be-your-life_1/index.html,2026-08-24T15:56:33.267008+00:00
Zero to One,£37.97,1.9,True,CompetitorB,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T15:22:01.267008+00:00
Zero to One,£34.78,1.9,True,CompetitorC,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T14:59:43.267008+00:00
The Coming Woman,£12.83,3.9,True,CompetitorA,https://books.toscrape.com/catalogue/the-coming-woman_1/index.html,2026-08-24T16:07:07.267008+00:00
How Music Works,£45.84,4.8,True,CompetitorA,https://books.toscrape.com/catalogue/how-music-works_1/index.html,2026-08-24T14:17:43.267008+00:00
Good to Great,£47.93,5.0,True,CompetitorA,https://books.toscrape.com/catalogue/good-to-great_1/index.html,2026-08-24T15:27:56.267008+00:00
The Four Agreements,£41.47,3.2,True,CompetitorB,https://books.toscrape.com/catalogue/the-four-agreements_1/index.html,2026-08-24T15:12:21.267008+00:00
America's Cradle of Quarterbacks,£13.34,4.7,True,CompetitorC,https://books.toscrape.com/catalogue/america's-cradle-of-quarterbacks_1/index.html,2026-08-24T15:59:51.267008+00:00
Wall and Piece,£34.78,2.0,True,CompetitorB,https://books.toscrape.com/catalogue/wall-and-piece_1/index.html,2026-08-24T14:34:36.267008+00:00
Sapiens,£47.13,3.6,True,CompetitorC,https://books.toscrape.com/catalogue/sapiens_1/index.html,2026-08-24T15:55:31.267008+00:00
Sapiens,£41.21,3.6,True,CompetitorB,https://books.toscrape.com/catalogue/sapiens_1/index.html,2026-08-24T15:00:55.267008+00:00
Shakespeare's Sonnets,£37.6,3.6,True,CompetitorA,https://books.toscrape.com/catalogue/shakespeare's-sonnets_1/index.html,2026-08-24T14:32:14.267008+00:00
America's Cradle of Quarterbacks,£12.7,4.7,True,CompetitorA,https://books.toscrape.com/catalogue/america's-cradle-of-quarterbacks_1/index.html,2026-08-24T15:29:44.267008+00:00
How Music Works,Â£38.24,4.8,True,CompetitorB,https://books.toscrape.com/catalogue/how-music-works_1/index.html,2026-08-24T16:00:51.267008+00:00
Digital Minimalism,£42.08,4.9,False,CompetitorC,https://books.toscrape.com/catalogue/digital-minimalism_1/index.html,2026-08-24T15:11:25.267008+00:00
Sharp Objects,£17.95,4.7,True,CompetitorC,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24T15:39:48.267008+00:00
Sharp Objects,£18.2,4.7,True,CompetitorB,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24T14:53:49.267008+00:00
Chase Me,£16.9,2.3,True,CompetitorA,https://books.toscrape.com/catalogue/chase-me_1/index.html,2026-08-24T14:16:00.267008+00:00
Foolproof Preserving,£28.87,4.5,True,CompetitorA,https://books.toscrape.com/catalogue/foolproof-preserving_1/index.html,2026-08-24T15:22:01.267008+00:00
Mesaerion,£41.78,1.1,True,CompetitorC,https://books.toscrape.com/catalogue/mesaerion_1/index.html,2026-08-24T14:56:59.267008+00:00
Sharp Objects,£20.09,4.7,True,CompetitorA,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24T15:25:01.267008+00:00
In Her Wake,£43.19,1.8,True,CompetitorA,https://books.toscrape.com/catalogue/in-her-wake_1/index.html,2026-08-24T16:13:19.267008+00:00
Soumission,£25.43,2.1,True,CompetitorA,https://books.toscrape.com/catalogue/soumission_1/index.html,2026-08-24T14:40:06.267008+00:00
Aladdin,£14.24,2.8,True,CompetitorB,https://books.toscrape.com/catalogue/aladdin_1/index.html,2026-08-24T16:00:16.267008+00:00
Foolproof Preserving,£24.56,4.5,False,CompetitorC,https://books.toscrape.com/catalogue/foolproof-preserving_1/index.html,2026-08-24T14:36:05.267008+00:00
Rip it Up and Start Again,£36.54,4.4,True,CompetitorC,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_1/index.html,2026-08-24T14:32:02.267008+00:00
The Innovators,£45.64,1.4,True,CompetitorC,https://books.toscrape.com/catalogue/the-innovators_1/index.html,2026-08-24T14:59:33.267008+00:00
Worlds Elsewhere,£48.59,2.1,True,CompetitorA,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24T14:25:04.267008+00:00
Creativity Inc,Â£11.16,3.5,True,CompetitorB,https://books.toscrape.com/catalogue/creativity-inc_1/index.html,2026-08-24T15:03:29.267008+00:00
The Power of Now,£17.66,2.5,True,CompetitorA,https://books.toscrape.com/catalogue/the-power-of-now_1/index.html,2026-08-24T14:21:09.267008+00:00
The Black Maria,£12.09,2.5,True,CompetitorB,https://books.toscrape.com/catalogue/the-black-maria_1/index.html,2026-08-24T14:25:16.267008+00:00
Olio,£21.68,1.9,True,CompetitorB,https://books.toscrape.com/catalogue/olio_1/index.html,2026-08-24T14:54:27.267008+00:00
The Dirty Little Secrets,£56.61,1.7,True,CompetitorA,https://books.toscrape.com/catalogue/the-dirty-little-secrets_1/index.html,2026-08-24T14:23:37.267008+00:00
Aladdin,£12.46,2.8,True,CompetitorA,https://books.toscrape.com/catalogue/aladdin_1/index.html,2026-08-24T16:12:08.267008+00:00
Start with Why,£53.48,1.4,True,CompetitorC,https://books.toscrape.com/catalogue/start-with-why_1/index.html,2026-08-24T15:26:34.267008+00:00
Essentialism,£22.91,3.1,True,CompetitorA,https://books.toscrape.com/catalogue/essentialism_1/index.html,2026-08-24T14:48:02.267008+00:00
Rip it Up and Start Again,£43.47,4.4,True,CompetitorA,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_1/index.html,2026-08-24T14:44:58.267008+00:00
America's Cradle of Quarterbacks,£13.86,4.7,True,CompetitorB,https://books.toscrape.com/catalogue/america's-cradle-of-quarterbacks_1/index.html,2026-08-24T16:13:20.267008+00:00
